u40,mid,old,ger
79673.82377265513,46228.284025830835,19348.134954525816,6261.440328040726
74813.19830435349,43366.4497856931,17673.577166270785,6034.406625886887
72279.66859997685,40443.1626937987,17233.02947447178,5843.529337009045
65461.06138555661,37882.925284711586,16229.469234391141,6004.416855162699
61417.81638741596,32645.432539620888,14850.988339722348,5272.150048274995
59974.66770725693,30504.984218015663,14164.429240603622,5397.209650542888
54695.973372883505,29834.56979315072,12978.5662613852,5090.666321286786
47305.92758778443,25676.43216873389,11362.132940396761,4498.954083463019
43975.40826838795,23865.206286935536,10375.20004898038,4232.688366447735
40042.21564285892,21602.0564518897,9344.958612851295,3508.2513942903925
37556.18369538325,20034.857375328847,8693.101765863148,3008.9568658612393
35807.52781714454,18996.618374402264,8030.340288700718,3193.9165865583022
33923.178435418,18148.838206573455,8218.899580465573,2779.610385090818
32924.48867231976,17650.571544150986,7993.0547723107675,2710.1171647130222
32299.921907605232,17137.766406309715,6878.934489467077,2651.653527000803
31347.662869879492,15963.803833373247,7026.892821393644,2282.218012078211
32339.667170837496,15619.998601245114,6584.499733196803,2281.827798559012
31630.052481059192,14465.259112093365,5975.283366358241,2178.0581161478517
31227.75718671169,13479.139428511837,5444.864600038893,1684.9322464164798
30449.188517412953,12999.4466530886,5034.309217605691,1745.2680414361503
29695.54233583796,12294.25532130046,4913.064391093294,1570.6893436269715
30824.814711813295,11586.593240213691,5024.8739199629645,1417.5480229762281
32341.609256309708,11004.148081816296,4797.153020693422,1260.144224093478
30211.018467542563,10524.268236584832,4288.071963319356,1034.5436657944172
30362.24980443605,10164.805707234467,4119.194230744123,1149.5139838591238
29230.12605371273,10231.980445096184,4124.6034754938855,1099.6938194635195
29792.79172080572,9400.964389225162,3706.652611184954,955.0021355714782
28513.35089290932,9126.93067570814,3442.635679036445,872.4338755635113
29852.662112304464,9146.497800601112,3473.474159531752,957.5265469473179
30331.365263658598,9352.68718473924,3548.764720967997,1109.9165836986488
30851.79068798663,8995.684093401354,3525.168119490053,1029.605910876233
31805.648151363544,8985.214285246322,3232.818968674201,857.8709850648179
32753.746280693118,8838.196273089836,3219.7519132387893,848.1011605972615
31130.273535213477,8664.500819895438,2987.7160804624323,760.3557935901545
29991.06968183436,8602.138518073558,3145.7572680712437,850.3463168091909
32747.202924232533,9571.143703528156,3374.8022246471573,851.5689890537168
33578.21125265777,10126.014617706436,3368.4837313090566,835.7687106114685
34573.577708684665,10403.012418262108,3463.1116479232996,850.5347550007177
34439.574574869774,10617.393611083715,3630.575822553498,985.8673205790475
35441.83336417182,11331.240123502901,3865.7834356270887,1018.6179361181831
36370.72050340646,11822.366798223396,3957.5352471429414,1139.34341606157
37310.636901509104,12107.531292837231,4038.85629863368,1120.6669721865514
41567.12263172509,13547.622990550077,4282.904208866356,1211.0930422486692
42539.84376157184,14101.247485941274,4665.735595982864,1296.6244313450197
44135.128971185426,14748.532272515786,4983.421670300306,1442.0210743183738
46321.05804191112,15564.935501852835,5329.703387148298,1481.7037371477359
47852.32718642848,16374.6872179146,5739.018776713882,1612.2902114942435
49638.7430384016,17314.194210537615,6303.319799965318,1815.6094588697392
51752.313023499024,17498.570853833793,6329.436254800734,1875.0087670976834
53279.50162396976,18447.82576571391,7204.870695385726,2196.377461641419
56068.975021849685,19365.692056517237,7706.623939775252,2251.5893113397615
57962.18393263404,20853.375056714787,8101.592836090768,2346.0260853565896
59190.834699221145,21252.78470007894,8449.59345782146,2508.557237136376
61298.54011080435,22709.11940742996,9083.951219130366,2693.5832235915186
62110.63931410898,22764.90231479121,9261.612072763795,2647.7971575804677
64107.55853668824,24325.43666511426,9786.522356510271,2832.746437088075
64915.61325439316,25162.88979185058,10666.004150156268,2899.1423326978374
65669.69385504813,26013.06087565085,10949.378738266045,3507.8090100071763
66060.5324281351,26546.77260560096,11629.061777997835,3645.656874920698
67455.26153981632,28486.806260437508,12675.558603682692,3995.8202654512825
67739.32425387204,28638.99876333598,12609.308412679271,4027.9427364377693
69615.51477541638,29634.495618142515,12963.886271084719,4275.180863239112
69524.94493870606,29646.98983167405,13359.300885585957,4322.322112701108
69554.22330219438,31717.02062610885,13863.724771784056,4545.132623376963
71081.04672379052,33176.85981585367,14615.003407647613,4498.350190528261
71708.75744276492,33463.77959482082,15033.17260713815,4972.607776569877
72100.83439437521,33814.36415150024,14775.593218998607,5127.464292568386
73222.82067223407,34537.89355858424,15027.401335253444,5452.18691470445
73329.54005576273,34725.440616098866,15216.496888504294,5419.021394233043
74710.27129573154,34901.888973128145,15078.725258467422,5562.421248063467
76117.52227076441,35118.89344171635,15532.502069681219,5640.153983402702
74652.4263652233,34849.13655076112,15352.91094023299,5356.284061250268
74854.47308051414,36172.634939720825,15436.887997934195,5575.7716873962045
73939.78378791468,36177.14132784441,15642.946260242334,5529.140289814761
73296.83629678682,36480.42263756865,16084.515061939099,5348.738677695957
73914.76809546418,37344.63834496531,16380.156350638012,5502.697306515571
74053.2003213498,37280.044034587314,16625.00628628585,5630.5910807313485
72286.68034346715,37908.49019057754,16106.134719825466,5664.752084422613
72528.32820836345,38520.0273180418,16152.12178472879,5965.163722973262
71639.58200136942,38034.50576486767,16299.532427857586,6019.467101733276
72263.43234743126,38048.66538032592,16360.06155300695,6044.024787241475
71449.90554317264,38556.100693889864,16621.60417844597,6295.327286050124
70959.42119413147,38174.712124166894,16428.12740599042,6473.292363743617
71313.78961035804,38499.2912276858,16510.04101074204,6283.755227943339
68858.50060769869,38105.93583676028,16903.940535467278,6391.76808788218
67375.26194075073,37391.287120002205,17664.026131039383,7003.323977979255
66556.8588422919,37570.06504282333,17322.45326678595,6834.924355192135
65704.07256096885,37339.30334083994,17714.9458508343,6727.2578369831
64787.15736592331,36714.611368193604,17631.21476637446,7025.928208591779
64253.01826840073,36771.064227350485,18560.40459071198,6909.911213739006
64008.93817049928,36790.51616663122,17783.81027189873,6990.241402254189
61789.20532858848,34701.19072852273,18527.144673057897,7551.122749615425
60961.27382808526,34769.59928946404,18224.258219804287,7392.722989498922
60985.96706070867,34123.39508444024,18221.12801493747,7086.4950044116495
58737.68212709621,33709.16044080603,18137.746180291953,7428.100235205973
58077.083711636755,32944.13603034642,17766.15362174613,7405.998807657256
57777.26424351866,32621.746748092573,17264.856811308775,7156.14028894577
57407.594397930414,32091.507002620754,17728.99786471395,6892.368360943573
56334.15290261617,31259.89203311186,16226.03665313211,6503.912606788829
53903.62485593687,30337.06970442293,16171.138768025214,6352.998513671403
52645.51061018096,29716.78063525326,16316.859765523066,6495.599285632488
52813.66076562298,29516.884826148384,15784.415717537122,6181.047011481738
51477.74727835644,28855.764797389627,16027.837858792287,6042.646162374006
51564.711366291966,28465.436709781377,15614.32816595737,6101.019746165997
51505.43861681679,28558.322037142832,15258.51446119875,5953.858154999069
49389.94846137533,28134.58622374961,14695.006932774524,6118.543357890116
49435.38472056799,27969.134832230175,14922.678554546561,5854.99254379295
48841.95324523018,27481.06567455483,14454.028863592144,6064.810576743506
48038.37187518811,27792.67537400644,14449.050189231026,5930.057405880263
46556.39118260128,26596.51277210565,14133.033040131239,6236.410020058746
46421.04713134947,26927.353119626172,14154.289805974184,6073.568930451135
44940.614244947574,26677.388879558206,13945.742315774343,6204.379056838334
44020.21915878777,25863.819448159626,14152.920415976912,5565.995619504991
43381.59396532039,25644.863772451696,13511.759010773374,5593.243366555041
41934.41213360034,25873.844816966564,14134.486513806502,5397.6065259648285
